ts_utc,recv_ts_unix_nano,pub_ts_unix_nano,pub_id,seq,latency_ms,topic
2025-12-14T14:50:45.10341512Z,1765723845103414568,1765723844038453747,5,3730561732409256701,1064.961,bench/topic/5
2025-12-14T14:50:45.103767067Z,1765723845103766477,1765723844010135877,7,957318261464797487,1093.631,bench/topic/7
2025-12-14T14:50:45.116055418Z,1765723845116054719,1765723844008683699,4,7925276987080709432,1107.371,bench/topic/4
2025-12-14T14:50:45.118216396Z,1765723845118215601,1765723844008683699,4,7925276987080709432,1109.532,bench/topic/4
2025-12-14T14:50:45.121791526Z,1765723845121790827,1765723844038453747,5,3730561732409256701,1083.337,bench/topic/5
2025-12-14T14:50:45.127077027Z,1765723845127076272,1765723844008683699,4,7925276987080709432,1118.393,bench/topic/4
2025-12-14T14:50:45.133791019Z,1765723845133790205,1765723844038453747,5,3730561732409256701,1095.336,bench/topic/5
2025-12-14T14:50:45.134762004Z,1765723845134761022,1765723844010135877,7,957318261464797487,1124.625,bench/topic/7
2025-12-14T14:50:45.13735201Z,1765723845137350957,1765723844008683699,4,7925276987080709432,1128.667,bench/topic/4
2025-12-14T14:50:45.139831096Z,1765723845139830521,1765723844010135877,7,957318261464797487,1129.695,bench/topic/7
2025-12-14T14:50:45.142960304Z,1765723845142959588,1765723844008683699,4,7925276987080709432,1134.276,bench/topic/4
2025-12-14T14:50:45.143771646Z,1765723845143771201,1765723844038453747,5,3730561732409256701,1105.317,bench/topic/5
2025-12-14T14:50:45.148760259Z,1765723845148759654,1765723844008683699,4,7925276987080709432,1140.076,bench/topic/4
2025-12-14T14:50:45.15641885Z,1765723845156418097,1765723844010135877,7,957318261464797487,1146.282,bench/topic/7
2025-12-14T14:50:45.160690797Z,1765723845160690022,1765723844008683699,4,7925276987080709432,1152.006,bench/topic/4
2025-12-14T14:50:45.163018258Z,1765723845163017535,1765723844010135877,7,957318261464797487,1152.882,bench/topic/7
2025-12-14T14:50:45.167559269Z,1765723845167558442,1765723844008683699,4,7925276987080709432,1158.875,bench/topic/4
2025-12-14T14:50:45.171335406Z,1765723845171334550,1765723844010135877,7,957318261464797487,1161.199,bench/topic/7
2025-12-14T14:50:45.172829316Z,1765723845172828680,1765723844038453747,5,3730561732409256701,1134.375,bench/topic/5
2025-12-14T14:50:45.174598914Z,1765723845174597992,1765723844008683699,4,7925276987080709432,1165.914,bench/topic/4
2025-12-14T14:50:45.176104121Z,1765723845176103533,1765723844010135877,7,957318261464797487,1165.968,bench/topic/7
2025-12-14T14:50:45.179137696Z,1765723845179136905,1765723844008683699,4,7925276987080709432,1170.453,bench/topic/4
